producto_url,nombre,Sistema Operativo,Procesador,RAM (GB),Almacenamiento interno (GB),Pantalla (Pulgadas),Cámara Principal (MP),Cámara frontal (MP),NFC,PRECIO DE LISTA,PRECIO DE LISTA SIN IMPUESTOS,PRECIO DE PROMOCIÓN,PRECIO DE PROMOCIÓN SIN IMPUESTOS,PRECIO CONEXIÓN TOTAL,PRECIO CONEXIÓN TOTAL SIN IMPUESTOS,Financiación
https://tienda.personal.com.ar/celulares/motorola/motorola-edge-50-pro/f,Motorola Edge 50 Pro 512 GB,Android 14,Octa-Core (2.63GHz - 2.4GHz - 1.8GHz),12,512,6.67,50,50,Si,1.329.999,1.099.172,1.199.999,991.734,1.079.999,892.561,Hasta 9 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/motorola/motorola-edge-40-neo/f,Motorola Edge 40 Neo 256 GB,Android 13,Octa-Core 2.5GHz,8,256,6.55,50,32,Si,749.999,619.833,,,674.999,557.850,Hasta 3 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/tcl/tcl-505-128-gb/f,TCL 505 128 GB,Android 14,Octa-Core (2.2GHz-1.6GHz),4,128,6.75,50,5,No,229.999,190.081,159.999,132.230,143.999,119.007,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a55-5g-256-gb/f,Samsung Galaxy A55 5G 256 GB,Android 14,Octa-Core (2.75GHz-2GHz),8,256,6.6,50,32,Si,1.121.999,927.271,,,1.009.799,834.544,Hasta 3 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/motorola/motorola-moto-g04/f,Motorola Moto G04 64 GB,Android 14,Octa-Core 1.6GHz,4,64,6.56,16,5,No,249.999,206.610,,,224.999,185.949,Hasta 3 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/motorola/motorola-moto-g24-power/f,Motorola Moto G24 Power 128 GB,Android 14,Octa-Core 2.0GHz,8,128,6.56,50,8,No,402.999,333.057,349.999,289.255,314.999,260.329,Hasta 12 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/samsung/samsung-galaxy-a35-5g-256-gb/f,Samsung Galaxy A35 5G 256 GB,Android 14,Octa-Core (2.4GHz-2GHz),8,256,6.6,50,13,Si,799.999,661.156,,,719.999,595.040,Hasta 6 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/samsung/samsung-galaxy-s24-plus-512-gb/f,Samsung Galaxy S24+ 512 GB,Android 14,Deca-Core (3.2GHz-2.9GHz-2.6GHz-1.95GHz),12,512,6.7,50,12,Si,2.689.999,2.223.139,,,,,Hasta 6 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/apple/iphone-15-pro-max-256gb/f,iPhone 15 Pro Max 256 GB,iOS 17,Hexa-core (2x3.78 GHz + 4),8,256,6.7,48,12,Si,4.699.999,3.263.888,,,4.229.999,2.937.499,Hasta 6 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/samsung/samsung-galaxy-zflip6-512-gb/f,Samsung Galaxy Z Flip6 512 GB,Android 14,Octa-Core (3.39GHz-3.1GHz-2.9GHz-2.2GHz),12,512,6.7,50,10,Si,2.649.999,2.190.081,,,2.384.999,1.971.073,Hasta 9 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/samsung/samsung-galaxy-zfold6-512-gb/f,Samsung Galaxy Z Fold6 512 GB,Android 14,Octa-Core (3.39GHz-3.1GHz-2.9GHz-2.2GHz),12,512,7.6,50,10,Si,4.319.999,3.570.247,,,3.887.999,3.213.222,Hasta 6 cuotas s/int. | con tarjetas de crédito
https://tienda.personal.com.ar/celulares/apple/iphone-15-256-gb/f,iPhone 15 256 GB,iOS 17,Hexa-core (2x3.46 GHz + 4x2.02 GHz ),6,256,6.1,48,12,No,3.899.999,2.708.332,,,3.509.999,2.437.499,Hasta 6 cuotas s/int. | con tarjetas de crédito
